SERVICE REQUEST ID,STATUS,CREATE DATE,CLOSE DATE,LAST ACTION DATE,PARENT TYPE,TYPE,COMMENTS,STREET NUMBER,STREET NAME,FULL ADDRESS,CROSS STREET,CITY,DEPARTMENT,DIVISION,LATITUDE,LONGITUDE,GEOLOCATION,TYPEI D,PARENT ID,DEPTDIV ID,DEPARTMENT-DIVISION NAME,STATUS ID
544794,CLOSED,8/7/2019 12:49,8/7/2019 12:28,8/7/2019 12:28,GARBAGE,MISSED HANDPILE SERVICE,,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173024,172975,57,DES - SANITATION,1
1022813,CLOSED,3/21/2024 14:42,3/27/2024 7:35,3/27/2024 7:35,GARBAGE,DAMAGED GARBAGE CART,"BACK SIDE IS SPLIT, AND THE LID HINGE PART IS BENT.",,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173020,172975,57,DES - SANITATION,1
496867,CLOSED,4/5/2019 8:30,4/11/2019 8:48,4/11/2019 8:48,BLIGHTED PROPERTIES,DEFACED SIDEWALK,NOTHING THAT THE CITY MAINTAINS HAS CAUSED THIS PROBLEM,,,,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,0,0,"(0.0, 0.0)",172991,172971,59,DOD - BLIGHT ENFORCEMENT,1
1001445,CLOSED,12/20/2023 15:17,12/21/2023 15:48,12/21/2023 15:48,GARBAGE,DAMAGED GARBAGE CART,PLEASE SEND A NEW GARBAGE CAN. MINE WAS DAMAGED BY GARBAGE TRUCK,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173020,172975,57,DES - SANITATION,1
1027538,CLOSED,4/8/2024 13:45,4/12/2024 11:43,4/12/2024 11:43,GARBAGE,DAMAGED GARBAGE CART,GARBAGE CART MISSING LID.,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173020,172975,57,DES - SANITATION,1
1028053,CLOSED,4/9/2024 16:18,4/11/2024 0:00,4/11/2024 0:00,GARBAGE,SAME DAY SERVICE STATUS,THE 200 BLOCK OF MAXINE WAS SKIPPED 4/10/24,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",427105,172975,57,DES - SANITATION,1
1028632,CLOSED,4/11/2024 12:08,4/12/2024 0:00,4/12/2024 0:00,GARBAGE,SAME DAY SERVICE STATUS,GARBAGE TRUCK MISSED 3 HOUSES ON SOUTHLAWN DR FOR NORMAL THURSDAY TRASH PICKUP,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",427105,172975,57,DES - SANITATION,1
1031338,CLOSED,4/19/2024 7:27,5/6/2024 13:07,5/6/2024 13:07,GARBAGE,MISSED HANDPILE SERVICE,LARGE PILE OF LIMBS NOT PICKED UP,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173024,172975,57,DES - SANITATION,1
1031969,CLOSED,4/22/2024 10:06,4/22/2024 11:44,4/22/2024 11:44,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS AND WEEDS. OVERGROWN,,,,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,0,0,"(0.0, 0.0)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,1
210761,CLOSED,1/28/2016 9:29,1/28/2016 3:31,1/28/2016 3:31,SEWER/WASTEWATER,INSIDE RESIDENTIAL BACKUP,B/U-RECHECK,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,0,0,"(0.0, 0.0)",173080,172981,58,DES - WW OPERATIONS,1
1033940,CLOSED,4/27/2024 10:54,5/15/2024 5:39,5/15/2024 5:39,ROAD MAINTENANCE ISSUES,POTHOLE,SMALL POTHOLE,5030,N AFTON PKWY,5030 N AFTON PKWY,,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,30.453161,-91.137527,"(30.453161, -91.137527)",173071,172980,64,DOM - STREET MAINTENANCE,1
212717,CLOSED,2/10/2016 9:39,2/12/2016 2:26,2/12/2016 2:26,GARBAGE,NEW RESIDENT REQUEST FOR GARBAGE CART,NEW ACCT.#0202060170745021,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173029,172975,57,DES - SANITATION,1
1034182,CLOSED,4/29/2024 10:11,5/6/2024 11:52,5/6/2024 11:52,STREET/TRAFFIC ISSUES,STREET LIGHT OUTAGE OR DAMAGE,STREET LIGHT IS LAYING IN YARD,,,,,BATON ROUGE,TRANSPORTATION AND DEVELOPMENT,TRAFFIC ENGINEERING,0,0,"(0.0, 0.0)",412195,172982,66,TAD - TRAFFIC ENGINEERING,1
1034146,CLOSED,4/29/2024 9:20,4/29/2024 15:36,4/29/2024 15:36,SEWER/WASTEWATER,OUTSIDE OVERFLOW,O/F,4160,MAPLE DR,4160 MAPLE DR,,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,30.487837,-91.152016,"(30.487837, -91.152016)",173084,172981,58,DES - WW OPERATIONS,1
1034580,CLOSED,4/30/2024 9:17,5/30/2024 15:16,5/30/2024 15:16,GARBAGE,DAMAGED GARBAGE CART,96 GAL CART IS SPLIT,5660,RICKOVER ST,5660 RICKOVER ST,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.556051,-91.135338,"(30.556051, -91.135338)",173020,172975,57,DES - SANITATION,1
1034864,CLOSED,4/30/2024 19:05,5/13/2024 13:00,5/13/2024 13:00,GARBAGE,NEW RESIDENT REQUEST FOR GARBAGE CART,REQUESTING GARBAGE COLLECTION SERVICE. MOVING TO RESIDENCE ON 5/7/24.,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173029,172975,57,DES - SANITATION,1
215951,CLOSED,2/29/2016 9:00,2/29/2016 3:04,2/29/2016 3:04,ROAD MAINTENANCE ISSUES,REQUEST FOR STREET GRADING,,,,,,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,0,0,"(0.0, 0.0)",173074,172980,64,DOM - STREET MAINTENANCE,1
216304,CLOSED,3/1/2016 11:45,3/9/2016 3:35,3/9/2016 3:35,GARBAGE,MISSING GARBAGE CART,96 GALLON CART FELL INTO ALLIED TRUCK,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173028,172975,57,DES - SANITATION,1
1035653,CLOSED,5/3/2024 7:42,5/3/2024 12:24,5/3/2024 12:24,SEWER/WASTEWATER,INSIDE RESIDENTIAL BACKUP,B/U,1735,N 16TH ST,1735 N 16TH ST,,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,30.463707,-91.173553,"(30.463707, -91.173553)",173080,172981,58,DES - WW OPERATIONS,1
1036288,CLOSED,5/6/2024 12:13,5/7/2024 8:41,5/7/2024 8:41,GARBAGE,MISSED WOODY WASTE SERVICE,MISSED LIMBS PICK UP,6290,LACA ST,6290 LACA ST,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.508354,-91.133995,"(30.508354, -91.133995)",173027,172975,57,DES - SANITATION,1
1038999,IN PROGRESS,5/13/2024 6:03,,5/13/2024 6:17,ROAD MAINTENANCE ISSUES,DAMAGED DRIVEWAY,,,,,,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,0,0,"(0.0, 0.0)",173070,172980,64,DOM - STREET MAINTENANCE,3
1039214,CLOSED,5/13/2024 12:13,7/3/2024 8:29,7/3/2024 8:29,GARBAGE,MISSED WOODY WASTE SERVICE,TREE LIMBS NEED TO BE PICKED UP,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173027,172975,57,DES - SANITATION,1
1039792,CLOSED,5/14/2024 13:25,5/22/2024 14:41,5/22/2024 14:41,GARBAGE,MISSING GARBAGE CART,CART FELL INTO THE TRUCK,9305,ARTIST CT,9305 ARTIST CT,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.414337,-91.0811,"(30.414337, -91.0811)",173028,172975,57,DES - SANITATION,1
1040531,CLOSED,5/16/2024 9:40,5/22/2024 6:38,5/22/2024 6:38,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS,,NORTH BLVD,NORTH BLVD,S FOSTER DR,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,30.448698,-91.138916,"(30.448698, -91.138916)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,1
1040915,CLOSED,5/17/2024 8:40,5/21/2024 8:22,5/21/2024 8:22,GARBAGE,MISSED HANDPILE SERVICE,TREE LIMBS,7423,BOARD DR,7423 BOARD DR,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.384117,-91.020187,"(30.384117, -91.020187)",173024,172975,57,DES - SANITATION,1
1043513,CLOSED,5/28/2024 7:22,5/29/2024 13:58,5/29/2024 13:58,GARBAGE,MISSING GARBAGE CART,96-GAL CART FELL INTO TRUCK.,5375,LANIER DR,5375 LANIER DR,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.500053,-91.1082,"(30.500053, -91.1082)",173028,172975,57,DES - SANITATION,1
1044306,CLOSED,5/29/2024 12:31,6/13/2024 12:52,6/13/2024 12:52,GARBAGE,DAMAGED GARBAGE CART,CART IS CRACKED,12730,LOVETT RD,12730 LOVETT RD,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.525431,-91.046028,"(30.525431, -91.046028)",173020,172975,57,DES - SANITATION,1
1045815,CLOSED,6/3/2024 14:02,6/4/2024 13:52,6/4/2024 13:52,RECYCLING,MISSED RECYCLING SERVICE,CART MISSED PICKUP,12566,ARCHERY DR,12566 ARCHERY DR,,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,30.456793,-91.043152,"(30.456793, -91.043152)",173063,172979,56,DES - RECYCLING,1
243204,CLOSED,6/30/2016 14:04,7/5/2016 4:20,7/5/2016 4:20,RECYCLING,NEW RESIDENT RECYCLING CART REQUEST,REQUEST RECYCLE CART,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,0,0,"(0.0, 0.0)",173064,172979,56,DES - RECYCLING,1
1047153,CLOSED,6/6/2024 11:38,6/7/2024 7:22,6/7/2024 7:22,BLIGHTED PROPERTIES,TALL GRASS,TALL GRASS IN FRONT AND BACK YARD,,,,,BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,0,0,"(0.0, 0.0)",172989,172971,59,DOD - BLIGHT ENFORCEMENT,1
1048785,CLOSED,6/11/2024 13:54,6/11/2024 14:12,6/11/2024 14:12,GARBAGE,MISSED GARBAGE SERVICE DAY (GENERAL PICK-UP),GARBAGE WAS NOT PICKED UP ON GARBAGE PICKUP DAY,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173023,172975,57,DES - SANITATION,1
1049051,CLOSED,6/12/2024 10:15,6/12/2024 11:58,6/12/2024 11:58,SEWER/WASTEWATER,LIBERTY PUMP ISSUE,L/P,441,W CHALFONT DR,441 W CHALFONT DR,,BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,30.460901,-91.020584,"(30.460901, -91.020584)",173081,172981,58,DES - WW OPERATIONS,1
1049760,OPEN,6/13/2024 14:45,,6/13/2024 14:45,ENVIRONMENTAL ISSUES,CONSTRUCTION TRASH/DEBRIS IN PUBLIC RIGHT-OF-WAY,DEBRIS TO BE REMOVED,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,ENVIRONMENTAL,0,0,"(0.0, 0.0)",173010,172974,55,DES - ENVIRONMENTAL,0
1049946,CLOSED,6/14/2024 7:58,6/17/2024 11:58,6/17/2024 11:58,GARBAGE,MISSED WOODY WASTE SERVICE,TREES,4440,HOLLYWOOD ST,4440 HOLLYWOOD ST,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,30.499306,-91.14576,"(30.499306, -91.14576)",173027,172975,57,DES - SANITATION,1
312030,CLOSED,4/25/2017 17:20,4/26/2017 0:30,4/26/2017 0:30,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE,,,,,,BATON ROUGE,MAINTENANCE,DRAINAGE MAINTENANCE,0,0,"(0.0, 0.0)",173005,172973,62,DOM - DRAINAGE MAINTENANCE,1
404992,CLOSED,5/22/2018 8:56,5/22/2018 4:14,5/22/2018 4:14,GARBAGE,NEW RESIDENT REQUEST FOR GARBAGE CART,,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173029,172975,57,DES - SANITATION,1
897320,CLOSED,1/13/2023 16:40,3/18/2024 13:02,3/18/2024 13:02,ROAD MAINTENANCE ISSUES,POTHOLE,POTHOLE IN THE ROADWAY IMPACTING DRIVING CONDITIONS.,,,,,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,0,0,"(0.0, 0.0)",173071,172980,64,DOM - STREET MAINTENANCE,1
936729,CLOSED,6/8/2023 15:47,6/8/2023 15:47,6/8/2023 15:47,GARBAGE,NEW RESIDENT REQUEST FOR GARBAGE CART,DELIVERED NEW GARBAGE CART TO NEW RESIDENT,4034,,4034,,BATON ROUGE,ENVIRONMENTAL SERVICES,SANITATION,0,0,"(0.0, 0.0)",173029,172975,57,DES - SANITATION,1
232805,CLOSED,5/19/2016 11:03,6/8/2016 6:37,6/8/2016 6:37,RECYCLING,NEW RESIDENT RECYCLING CART REQUEST,,,,,,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,0,0,"(0.0, 0.0)",173064,172979,56,DES - RECYCLING,1
986453,CLOSED,10/24/2023 14:32,10/24/2023 15:00,10/24/2023 15:00,GARBAGE,LARGE DEAD ANIMAL FOR PICK-UP,,,,,,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,0,0,"(0.0, 0.0)",173021,172975,63,DOM - LANDSCAPE MAINTENANCE,1
